name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2022-07-20,28.6,16.3,22.2,28.3,16.3,22.2,13.8,60.4,0,0,0,,0,0,20.9,11.5,329.6,1017.7,3.4,15.6,318.2,27.4,9,10,2022-07-20T05:32:40,2022-07-20T20:58:10,0.75,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-21,26.9,15.7,20.6,26.9,15.7,20.6,13.3,64.9,0.411,100,8.33,rain,0,0,17.3,12.8,236,1016.7,10.3,15.3,313.6,27.1,9,10,2022-07-21T05:33:47,2022-07-21T20:57:07,0.8,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2022-07-22,22.4,14.7,18.1,22.4,14.7,18.1,12.1,69.3,0,0,0,rain,0,0,28.1,15.7,213.9,1018.6,55.3,15.5,273.5,23.7,10,10,2022-07-22T05:34:56,2022-07-22T20:56:03,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-23,22.3,14.4,18,22.3,14.4,18,12.3,70.5,0,0,0,rain,0,0,18.7,11,320.9,1020.2,67.3,15.4,241,21,10,10,2022-07-23T05:36:05,2022-07-23T20:54:56,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-24,27.2,13.9,20.6,27.2,13.9,20.6,13.6,66.2,0,0,0,,0,0,40.7,24.2,327.9,1018.9,17.8,15.4,297.5,25.7,9,10,2022-07-24T05:37:15,2022-07-24T20:53:48,0.93,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-25,29.4,16,23.6,29.4,16,23.5,14.7,59.4,0,0,0,,0,0,29.5,17.4,325.1,1014,3.1,15.9,301.1,26.2,9,10,2022-07-25T05:38:26,2022-07-25T20:52:37,0.96,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-26,34,18.7,26.3,33.9,18.7,26.4,15.8,54.9,0,0,0,,0,0,14.8,13,320.6,1011.4,0,16,300,25.9,9,10,2022-07-26T05:39:37,2022-07-26T20:51:24,0.98,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-27,32.3,17.9,25.2,32.6,17.9,25.3,16.1,59,0,0,0,,0,0,18,12.2,287.5,1014.6,9.6,15.9,298.4,25.8,9,15,2022-07-27T05:40:50,2022-07-27T20:50:10,1,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-28,32.4,18.4,25,32.5,18.4,25.1,16.2,60.5,0,0,0,,0,0,20.2,16.8,321.3,1013.9,3.9,15.7,293.7,25.4,9,15,2022-07-28T05:42:03,2022-07-28T20:48:53,1,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-29,32.7,18.5,25.6,33.2,18.5,25.7,16.5,59.2,0,0,0,,0,0,17.6,14.3,316.3,1012,0.9,15.9,295.3,25.4,9,10,2022-07-29T05:43:17,2022-07-29T20:47:35,0,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-30,33.6,18.7,26.5,33.5,18.7,26.5,16,55.3,0,0,0,,0,0,24.5,13.9,325.1,1011.8,0,15.7,298.8,25.8,9,10,2022-07-30T05:44:31,2022-07-30T20:46:15,0.01,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-31,33.7,18.7,26.1,32.8,18.7,25.9,14.5,51.6,0,0,0,,0,0,23.8,11.8,322.9,1012.3,0.5,16,294.8,25.3,9,10,2022-07-31T05:45:47,2022-07-31T20:44:53,0.04,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-08-01,27.2,17.9,22.2,27.6,17.9,22.2,14.7,63.3,0,0,0,rain,0,0,37.1,15.8,208.6,1013.6,11.6,15.8,251.4,21.8,10,10,2022-08-01T05:47:02,2022-08-01T20:43:29,0.07,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-08-02,24.6,15.3,19.4,24.6,15.3,19.4,12.2,65.6,0,0,0,rain,0,0,31.7,14.2,218,1016.9,51.7,15.9,212,18.4,9,10,2022-08-02T05:48:18,2022-08-02T20:42:04,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2022-08-03,23.6,13,17.5,23.6,13,17.5,11.5,69.7,0,0,0,,0,0,37.1,20.8,221.8,1014.5,27.8,15.9,288.1,24.8,10,10,2022-08-03T05:49:35,2022-08-03T20:40:37,0.14,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
